,searchTerm,countryCode
510,Daimler,DE
511,EXOR Group,IT
512,China State Construction Engineering,CN
513,Hon Hai Precision Industry,TW
514,Industrial & Commer. Bank of China,CN
515,AXA,FR
516,Total,FR
517,Ping An Insurance,CN
518,Honda Motor,JP
519,China Construction Bank,CN
520,Trafigura Beheer,NL
521,SAIC Motor,CN
522,Allianz,DE
523,Agricultural Bank of China,CN
524,China Life Insurance,CN
525,Walgreens,US
526,BNP Paribas,FR
527,Japan Post Holdings,JP
528,Bank of China,CN
529,JP Morgan Chase,US
530,Gazprom,RU
531,Prudential plc,GB
532,BMW,DE
533,China Mobile Communications,CN
534,Nissan Motor,JP
535,Nippon Tel. & Tel.,JP
536,China Railway Engineering,CN
537,China Railway Construction,CN
538,Assicurazioni Generali,IT
539,Lukoil,RU
540,Dongfeng Motor Group,CN
541,Siemens,DE
542,Carrefour,FR
543,Nestle,CH
544,Huawei Investment & Holding,CN
545,Petrobras,BR
546,Bosch,DE
547,Banco Santander,ES
548,Hyundai Motor,KR
549,Hitachi,JP
550,Deutsche Telekom,DE
551,Credit Agricole,FR
552,Enel,IT
553,SK Holdings,KR
554,SoftBank Group,JP
555,China Resources National,CN
556,China National Offshore Oil,CN
557,Uniper,DE
558,ENI,IT
559,HSBC Holdings,GB
560,China Communications Construction,CN
561,Pacific Construction Group,CN
562,Sony,JP
563,Sinochem,CN
564,JX Holdings,JP
565,China Energy Investment,CN
566,Tesco,GB
567,AEON,JP
568,Engie,FR
569,Airbus Group,NL
570,Pemex,MX
571,Peugeot,FR
572,China Minmetals,CN
573,China Southern Power Grid,CN
574,Amer International Group,CN
575,BASF,DE
576,China Post Group,CN
577,Panasonic,JP
578,Rosneft Oil,RU
579,People's Insurance Co. of China,CN
580,Royal Ahold,NL
581,Deutsche Post,DE
582,Munich Re,DE
583,Societe Generale,FR
584,COFCO,CN
585,U.S. Postal Service,US
586,Beijing Automotive Group,CN
587,China FAW Group,CN
588,Nippon Life Insurance,JP
589,Archelor Mittal,LU
590,Lowe's,US
591,Mitsubishi Corp.,JP
592,Marubeni,JP
593,Tewoo Group,CN
594,Itau Unibanco Holding,BR
595,Renault,FR
596,Indian Oil,IN
597,Aegon,NL
598,China North Industries,CN
599,China Telecommunications,CN
600,Zurich Insurance Group,CH
601,Aviva,GB
602,Dai-ichi Life Insurance,JP
603,Reliance Industries,IN
604,CITIC Group,CN
605,Equinor,NO
606,Groupe BPCE,FR
607,Unilever,GB
608,Groupe Auchan,FR
609,Vodafone Group,GB
610,Aviation Industry Corp. of China,CN
611,China Baowu Steel Group,CN
612,PTT,TH
613,Telefonica,ES
614,Toyota Tsusho,JP
615,Banco Bradesco,BR
616,ChemChina,CN
617,Bank of Communications,CN
618,Roche Group,CH
619,Anheuser-Busch InBev,BE
620,ING Group,NL
621,Legal & General Group,GB
622,Louis Dreyfus Commodities,NL
623,Banco do Brasil,BR
624,Walt Disney,US
625,Mitsubishi UFJ Financial Group,JP
626,LG Electronics,KR
627,Seven & I Holdings,JP
628,America Movil,MX
629,JD.Com,CN
630,Power China,CN
631,POSCO,KR
632,Shandong Weiqiao Pioneering,CN
633,Tokyo Electric Power,JP
634,Korea Electric Power,KR
635,Lloyds Banking Group,GB
636,Petronas,MY
637,Sumitomo Mitsui Financial Group,JP
638,Bayer,DE
639,Sinopharm,CN
640,Wesfarmers,AU
641,Finatis,FR
642,Oil & Natural Gas,IN
643,Nippon Steel & Sumitomo Metal,JP
644,JBS,BR
645,CNP Assurances,FR
646,Guangzhou Automobile Industry Group,CN
647,Novartis,CH
648,Itochu,JP
649,Sberbank,RU
650,Continental,DE
651,Christian Dior,FR
652,Tokio Marine Holdings,JP
653,Deutsche Bahn,DE
654,China Merchants Bank,CN
655,RWE,DE
656,HCA Holdings,US
657,State Bank of India,IN
658,ThyssenKrupp,DE
659,Kia Motors,KR
660,China Pacific Insurance,CN
661,MS&AD Insurance,JP
662,Aluminum Corp. of China,CN
663,Deutsche Bank,DE
664,Banco Bilbao Vizcaya Argentaria,ES
665,Orange,FR
666,Vinci,FR
667,Shanghai Pudong Devel. Bank,CN
668,Woolworths,AU
669,Denso,JP
670,Evergrande Real Estate Group,CN
671,Saint-Gobain,FR
672,Tata Motors,IN
673,Bunge,US
674,Shandong Energy Group,CN
675,Hengli Group,CN
676,KDDI,JP
677,Industrial Bank,CN
678,HBIS Group,CN
679,Lenovo Group,CN
680,Manulife Financial,CA
681,China South Industries Group,CN
682,China National Building Material Group,CN
683,Hanwha,KR
684,China Shipbuilding Industry,CN
685,Mitsui,JP
686,Wilmar International,SG
687,Sumitomo,JP
688,China Minsheng Banking,CN
689,Greenland Holding Group,CN
690,Pertamina,ID
691,E.ON,DE
692,Sinomach,CN
693,Swiss Re,CH
694,Repsol,ES
695,SSE,GB
696,Zhejiang Geely Holding Group,CN
697,ZF Friedrichshafen,DE
698,Metro,DE
699,Wuchan Zhongda Group,CN
700,Sanofi,FR
701,Brookfield Asset Management,CA
702,China United Network Communications,CN
703,Lufthansa Group,DE
704,Rio Tinto Group,GB
705,Mitsubishi Electric,JP
706,China Merchants Group,CN
707,SABIC,SA
708,Power Corp. of Canada,CA
709,Jardine Matheson,CN
710,ACS,ES
711,Pegatron,TW
712,Volvo,SE
713,Magna International,CA
714,Shaanxi Yanchang Petroleum (Group),CN
715,China Huaneng Group,CN
716,GlaxoSmithKline,GB
717,Talanx,DE
718,Royal Bank of Canada,CA
719,Shaanxi Coal & Chemical Industry,CN
720,AIA Group,CN
721,BHP Billiton,AU
722,Fresenius,DE
723,Alimentation Couche-Tard,CA
724,Alibaba Group Holding,CN
725,J. Sainsbury,GB
726,Poste Italiane,IT
727,Maersk Group,DK
728,UBS Group,CH
729,Bouygues,FR
730,George Weston,CA
731,Meiji Yasuda Life Insurance,JP
732,Edeka Zentrale,DE
733,Mitsubishi Heavy Industries,JP
734,China Poly Group,CN
735,Fujitsu,JP
736,Bharat Petroleum,IN
737,Accenture,IE
738,Canon,JP
739,Centrica,GB
740,SNCF Mobilites,FR
741,China Everbright Group,CN
742,Midea Group,CN
743,Intesa Sanpaolo,IT
744,Vale,BR
745,Toshiba,JP
746,Aisin Seiki,JP
747,Iberdrola,ES
748,Tencent Holdings,CN
749,China Vanke,CN
750,China Energy Engineering Group,CN
751,China COSCO Shipping,CN
752,Barclays,GB
753,Toronto-Dominion Bank,CA
754,LyondellBasell Industries,NL
755,Noble Group,CN
756,ABB,CH
757,Daiwa House Industry,JP
758,China Aerospace Science & Technology,CN
759,Enbridge,CA
760,China Aerospace Science & Industry,CN
761,Sompo Holdings,JP
762,Suzuki Motor,JP
763,Commonwealth Bank of Australia,AU
764,Sumitomo Life Insurance,JP
765,Mitsubishi Chemical Holdings,JP
766,Country Garden Holdings,CN
767,Quanta Computer,TW
768,DZ Bank,DE
769,JFE Holdings,JP
770,Jizhong Energy Group,CN
771,Xiamen ITG Holding Group,CN
772,Cedar Holdings Group,CN
773,Xiamen C&D,CN
774,Jiangsu Shagang Group,CN
775,Bridgestone,JP
776,Chubb,CH
777,Mizuho Financial Group,JP
778,Taiwan Semiconductor Manufacturing,TW
779,China Electronics,CN
780,Jiangxi Copper,CN
781,China National Aviation Fuel Group,CN
782,Credit Suisse Group,CH
783,CK Hutchison Holdings,CN
784,Xiamen Xiangyu Group,CN
785,BT Group,GB
786,Mazda Motor,JP
787,Hyundai Mobis,KR
788,Xinxing Cathay International Group,CN
789,CRH,IE
790,Subaru,JP
791,CRRC,CN
792,Schlumberger,US
793,China Electronics Technology Group,CN
794,Johnson Controls International,IE
795,United Services Auto. Assn.,US
796,Loreal,FR
797,China State Shipbuilding,CN
798,State Power Investment,CN
799,Medtronic,IE
800,China Huadian,CN
801,Idemitsu Kosan,JP
802,Yankuang Group,CN
803,UniCredit Group,IT
804,Compal Electronics,TW
805,Rajesh Exports,IN
806,Air France-KLM Group,FR
807,Inditex,ES
808,Cathay Life Insurance,TW
809,Coop Group,CH
810,Compass Group,GB
811,Westpac Banking,AU
812,Migros Group,CH
813,Phoenix Pharma,DE
814,Medipal Holdings,JP
815,Veolia Environnement,FR
816,Kansai Electric Power,JP
817,Samsung Life Insurance,KR
818,Royal Philips,NL
819,Schneider Electric,FR
820,Sumitomo Electric Industries,JP
821,Danone,FR
822,Suning.com Group,CN
823,Ansteel Group,CN
824,Gas Natural Fenosa,ES
825,Bank of Nova Scotia,CA
826,Shougang Group,CN
827,Wistron,TW
828,La Poste,FR
829,Koc Holding,TR
830,CPC,TW
831,GS Caltex,KR
832,Mapfre Group,ES
833,Adecco Group,CH
834,SK Hynix,KR
835,East Japan Railway,JP
836,LafargeHolcim,CH
837,Altice,NL
838,SAP,DE
839,Onex,CA
840,Australia & New Zealand Banking Group,AU
841,Anglo American,GB
842,Randstad Holding,NL
843,British American Tobacco,GB
844,CFE,MX
845,Xinjiang Guanghui Industry Investment,CN
846,Nokia,FI
847,Samsung C&T,KR
848,International Airlines Group,GB
849,Chubu Electric Power,JP
850,NEC,JP
851,Yango Longking Group,CN
852,China Taiping Insurance Group,CN
853,Flex,SG
854,China Datang,CN
855,PKN ORLEN Group,PL
856,Ultrapar Holdings,BR
857,KB Financial Group,KR
858,Achmea,NL
859,Emirates Group,AE
860,Heineken Holding,NL
861,Suncor Energy,CA
862,Energie Baden-Wurttemberg,DE
863,Michelin,FR
864,Fubon Financial Holding,TW
865,Adidas,DE
866,Shanxi Jincheng Anthracite Coal Mining Group,CN
867,Heraeus Holding,DE
868,LG Display,KR
869,National Australia Bank,AU
870,Ceconomy,DE
871,Fomento Economico Mexicano,MX
872,Taikang Insurance Group,CN
873,Boehringer Ingelheim,DE
874,Rabobank Group,NL
875,CJ Corp.,KR
876,Yangquan Coal Industry Group,CN
877,Shanxi LuAn Mining Group,CN
878,Henan Energy & Chemical,CN
879,Datong Coal Mine Group,CN
880,BAE Systems,GB
881,Qingdao Haier,CN
882,Ericsson,SE
